Date,Beans,Berries,Other Fruits,Cruciferous Vegetables,Greens,Other Vegetables,Flaxseeds,Nuts,Spices,Whole Grains,Beverages,Exercise,Vitamin B12,Vitamin D,Omega 3,Meal Water,Meal NegCal,Meal Vinegar,Meal Undistracted,Meal 20 Minutes,Daily Black Cumin,Daily Garlic,Daily Ginger,Daily NutriYeast,Daily Cumin,Daily Green Tea,Daily Hydrate,Daily Deflour Diet,Daily Front-Load,Daily Time-Restrict,Exercise Timing,Weight Twice,Complete Intentions,Nightly Fast,Nightly Sleep,Nightly Trendelenbrug,Weight AM Time,Weight AM Value,Weight PM Time,Weight PM Value
[UNITS],3,1,3,1,2,2,1,1,1,3,5,1,1,1,1,3,3,3,3,3,1,1,1,1,2,3,1,1,1,1,1,2,3,1,1,1,[am],[kg],[pm],[kg]
20250715,3,1,0,0,2,0,0,1,1,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:16,65.4,23:16,64.6
20250716,3,1,0,1,1,0,0,0,0,0,5,1,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,08:16,65.2,21:53,64.8
20250717,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:36,65,23:56,65
20250718,3,1,0,1,1,0,0,1,0,0,5,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:28,64.8,22:25,65.2
20250719,3,1,0,1,1,0,0,1,0,0,5,1,1,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,08:18,64.6,22:49,65.4
20250720,3,1,0,0,1,0,0,0,0,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:33,64.4,22:56,65.6
20250721,3,1,0,0,1,0,0,1,0,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:51,64.2,23:07,65.8
20250722,3,1,0,0,1,0,0,1,0,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:48,64,22:20,66
20250723,3,1,0,0,0,0,0,1,1,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:30,63.8,22:49,66.2
20250724,3,1,0,0,2,0,0,1,1,0,5,1,1,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:20,63.7,22:44,66.3
20250725,3,1,0,0,2,0,0,1,0,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:27,63.5,22:17,66.5
20250726,3,1,0,1,1,0,0,1,0,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:29,63.4,23:36,66.6
20250727,3,1,0,0,2,0,0,0,0,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:14,63.3,21:13,66.7
20250728,3,1,0,1,0,0,0,1,0,0,5,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:21,63.2,22:55,66.8
20250729,3,1,0,0,2,0,0,1,0,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:37,63.1,22:25,66.9
20250730,3,1,0,1,2,0,0,1,0,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:57,63,22:10,67
20250731,3,1,0,1,1,0,0,0,1,0,5,1,1,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:11,63,21:10,67
20250801,3,1,0,0,0,0,0,0,0,0,5,1,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:44,63,21:43,67
20250802,3,1,0,1,1,0,0,1,1,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:48,63,22:49,67
20250803,3,1,0,1,1,0,0,1,1,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:45,63,22:09,67
20250804,3,1,0,0,1,0,0,1,0,0,5,1,1,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:32,63.1,22:44,66.9
20250805,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:34,63.2,23:09,66.8
20250806,3,1,0,1,2,0,0,1,1,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:49,63.3,23:43,66.7
20250807,3,1,0,1,0,0,0,1,0,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:14,63.4,21:13,66.6
20250808,3,1,0,0,1,0,0,1,0,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:52,63.5,21:16,66.5
20250809,3,1,0,0,2,0,0,1,0,0,5,1,1,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:02,63.7,21:13,66.3
20250810,3,1,0,1,0,0,0,0,1,0,5,1,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:25,63.8,21:42,66.2
20250811,3,1,0,0,2,0,0,1,0,0,5,1,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:48,64,22:47,66
20250812,3,1,0,1,0,0,0,0,1,0,5,1,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:43,64.2,21:28,65.8
20250813,3,1,0,1,2,0,0,1,0,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:55,64.4,23:15,65.6
20250814,3,1,0,1,2,0,0,1,1,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:38,64.6,23:07,65.4
20250815,3,1,0,1,1,0,0,0,0,0,5,1,1,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:03,64.8,22:01,65.2
20250816,3,1,0,0,2,0,0,0,0,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:11,65,21:46,65
20250817,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:55,65.2,22:27,64.8
20250818,3,1,0,1,0,0,0,1,0,0,5,1,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:55,65.4,23:23,64.6
20250819,3,1,0,0,2,0,0,0,1,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:51,65.6,22:29,64.4
20250820,3,1,0,0,2,0,0,0,0,0,5,1,1,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:11,65.8,21:37,64.2
20250821,3,1,0,1,0,0,0,0,0,0,5,1,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:26,66,21:10,64
20250822,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:17,66.2,22:03,63.8
20250823,3,1,0,1,2,0,0,0,0,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:21,66.3,23:43,63.7
20250824,3,1,0,1,1,0,0,1,1,0,5,1,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:39,66.5,21:59,63.5
20250825,3,1,0,0,0,0,0,1,1,0,5,1,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:59,66.6,23:41,63.4
20250826,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:03,66.7,21:30,63.3
20250827,3,1,0,1,0,0,0,1,0,0,5,1,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:52,66.8,21:19,63.2
20250828,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:25,66.9,22:43,63.1
20250829,3,1,0,1,1,0,0,1,0,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:01,67,23:12,63
20250830,3,1,0,0,1,0,0,0,0,0,5,1,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:31,67,22:35,63
20250831,3,1,0,0,0,0,0,0,0,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:48,67,22:28,63
20250901,3,1,0,1,2,0,0,0,1,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:48,67,23:15,63
20250902,3,1,0,0,1,0,0,1,1,0,5,1,1,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:02,67,21:22,63
20250903,3,1,0,0,2,0,0,0,1,0,5,1,1,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:51,66.9,23:33,63.1
20250904,3,1,0,1,2,0,0,1,1,0,5,1,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:21,66.8,22:22,63.2
20250905,3,1,0,0,1,0,0,1,1,0,5,1,1,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,08:16,66.7,23:28,63.3
20250906,3,1,0,0,2,0,0,1,1,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:29,66.6,22:54,63.4
20250907,3,1,0,0,1,0,0,1,1,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:46,66.5,22:10,63.5
20250908,3,1,0,1,1,0,0,1,1,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:46,66.3,21:57,63.7
20250909,3,1,0,1,2,0,0,1,1,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:02,66.2,21:34,63.8
20250910,3,1,0,1,1,0,0,1,0,0,5,1,1,0,0,3,3,0,3,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,08:38,66,21:37,64
20250911,3,1,0,0,0,0,0,1,0,0,5,1,1,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:58,65.8,22:26,64.2
20250912,3,1,0,0,0,0,0,0,0,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:07,65.6,21:53,64.4
20250913,3,1,0,1,1,0,0,1,1,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:16,65.4,23:08,64.6
20250914,3,1,0,0,2,0,0,1,0,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:25,65.2,22:54,64.8
20250915,3,1,0,0,0,0,0,0,0,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:46,65,22:20,65
20250916,3,1,0,0,0,0,0,1,1,0,5,1,1,0,0,3,3,0,3,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:58,64.8,21:02,65.2
20250917,3,1,0,0,1,0,0,0,0,0,5,1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:35,64.6,23:29,65.4
20250918,3,1,0,0,0,0,0,0,0,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,08:37,64.4,23:03,65.6
20250919,3,1,0,0,1,0,0,0,0,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:49,64.2,23:59,65.8
20250920,3,1,0,0,2,0,0,0,0,0,5,1,1,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:12,64,23:51,66
20250921,3,1,0,0,0,0,0,0,1,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,08:41,63.8,23:09,66.2
20250922,3,1,0,0,0,0,0,0,1,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:01,63.7,23:21,66.3
20250923,3,1,0,0,1,0,0,1,0,0,5,1,1,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,07:46,63.5,21:39,66.5
20250924,3,1,0,0,1,0,0,1,1,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:45,63.4,22:13,66.6
20250925,3,1,0,1,0,0,0,1,0,0,5,1,1,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:53,63.3,23:46,66.7
20250926,3,1,0,1,2,0,0,1,1,0,5,1,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:29,63.2,22:15,66.8
20250927,3,1,0,0,2,0,0,0,1,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:03,63.1,22:13,66.9
20250928,3,1,0,1,2,0,0,0,0,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:44,63,21:39,67
20250929,3,1,0,0,2,0,0,0,1,0,5,1,1,0,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:28,63,22:14,67
20250930,3,1,0,1,1,0,0,0,0,0,5,1,1,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,07:09,63,21:43,67
20251001,3,1,0,1,0,0,0,0,1,0,5,1,1,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:48,63,21:29,67
20251002,3,1,0,0,0,0,0,1,1,0,5,1,1,0,0,3,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,08:12,63,22:41,67
20251003,3,1,0,0,0,0,0,1,1,0,5,1,1,0,0,3,3,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:49,63.1,21:44,66.9
20251004,3,1,0,1,1,0,0,0,0,0,5,1,1,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,08:52,63.2,23:06,66.8
20251005,3,1,0,0,1,0,0,0,1,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,07:53,63.3,23:29,66.7
20251006,3,1,0,1,2,0,0,0,0,0,5,1,1,0,0,3,3,0,1,3,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,07:25,63.4,23:33,66.6
20251007,3,1,0,0,0,0,0,1,0,0,5,1,1,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,08:19,63.5,21:18,66.5
